                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.91947,                0.86979,                 1.3135,                 0.7861,                0.69529,                0.73475,                0.58769,                0.88094,                0.61304,                 1.2556,              0.0085274,              0.0085274,              0.0085274
                    122,                0.93399,                0.88685,                   1.32,                0.77182,                0.69986,                0.73554,                0.58612,                0.88043,                0.61584,                 1.2546,               0.008515,               0.008515,               0.008515
                    123,                0.93672,                0.88597,                 1.3256,                0.76492,                0.70047,                0.73366,                0.58504,                0.87987,                0.61502,                 1.2526,              0.0085026,              0.0085026,              0.0085026
                    124,                0.92558,                   0.87,                 1.3121,                0.78034,                0.69231,                0.73437,                 0.5853,                0.87616,                0.61211,                 1.2502,              0.0084903,              0.0084903,              0.0084903
                    125,                0.92251,                0.87051,                 1.3127,                0.75158,                0.70944,                0.73468,                0.58651,                0.87699,                0.61038,                 1.2513,              0.0084779,              0.0084779,              0.0084779
                    126,                0.90309,                 0.8546,                 1.2968,                0.75031,                0.70667,                0.73523,                0.58713,                0.87569,                0.61275,                 1.2511,              0.0084655,              0.0084655,              0.0084655
                    127,                0.92617,                0.86749,                 1.3097,                  0.751,                0.70331,                0.73526,                 0.5898,                0.87578,                0.60807,                 1.2504,              0.0084531,              0.0084531,              0.0084531
                    128,                0.91899,                0.85562,                 1.3015,                0.76108,                0.70598,                0.73582,                0.58902,                 0.8726,                0.60976,                 1.2462,              0.0084408,              0.0084408,              0.0084408
                    129,                0.92294,                0.85931,                 1.3074,                0.75586,                0.71299,                0.73398,                0.58688,                0.87313,                0.60895,                  1.245,              0.0084284,              0.0084284,              0.0084284
                    130,                0.92754,                0.87626,                 1.3173,                0.76086,                0.71479,                0.73528,                 0.5882,                0.87189,                0.60613,                 1.2452,               0.008416,               0.008416,               0.008416
                    131,                0.91797,                 0.8577,                 1.3003,                0.76811,                0.71107,                0.73663,                0.58965,                0.86943,                0.60498,                 1.2434,              0.0084036,              0.0084036,              0.0084036
                    132,                0.92123,                0.86204,                 1.3034,                0.76333,                0.70813,                0.73599,                0.58998,                0.86867,                0.60472,                 1.2423,              0.0083913,              0.0083913,              0.0083913
                    133,                0.91209,                0.84101,                 1.2984,                0.77262,                0.70573,                0.73585,                0.59117,                 0.8643,                 0.6013,                 1.2392,              0.0083789,              0.0083789,              0.0083789
